n=120, m=8, U=3.717518, f=0.09, E=10763.33
n=120, m=8, U=3.478805, f=0.09, E=10099.44
n=120, m=8, U=3.584753, f=0.09, E=10316.43
n=120, m=8, U=3.515542, f=0.09, E=10066.00
n=120, m=8, U=3.773377, f=0.09, E=10699.62
n=120, m=8, U=3.477118, f=0.09, E=9893.93
n=120, m=8, U=3.408030, f=0.09, E=9809.34
n=120, m=8, U=3.521577, f=0.09, E=10298.47
n=120, m=8, U=3.661810, f=0.09, E=10451.06
n=88, m=8, U=3.372218, f=0.10, E=9453.32
n=88, m=8, U=3.447140, f=0.10, E=9585.93
n=88, m=8, U=3.433695, f=0.10, E=9713.32
n=88, m=8, U=3.711451, f=0.10, E=10217.74
n=88, m=8, U=3.640519, f=0.10, E=10212.12
n=88, m=8, U=3.426490, f=0.10, E=9597.08
n=88, m=8, U=3.432584, f=0.10, E=9591.94
n=88, m=8, U=3.389752, f=0.10, E=9417.49
n=88, m=8, U=3.426409, f=0.10, E=9624.84
n=88, m=8, U=3.609725, f=0.10, E=9794.80
n=104, m=8, U=3.613817, f=0.10, E=10108.54
n=104, m=8, U=3.595549, f=0.10, E=9925.24
n=104, m=8, U=3.518184, f=0.10, E=9924.95
n=104, m=8, U=3.537492, f=0.10, E=9853.17
n=104, m=8, U=3.797585, f=0.10, E=10717.58
n=104, m=8, U=3.767280, f=0.10, E=10521.12
n=104, m=8, U=3.758466, f=0.10, E=10514.72
n=104, m=8, U=3.362884, f=0.10, E=9445.74
n=104, m=8, U=3.636676, f=0.10, E=10269.53
n=104, m=8, U=3.652359, f=0.10, E=10291.16
n=120, m=8, U=3.833814, f=0.10, E=11224.78
n=120, m=8, U=3.750512, f=0.10, E=10441.51
n=120, m=8, U=3.755966, f=0.10, E=10658.47
n=120, m=8, U=3.731207, f=0.10, E=10547.31
n=120, m=8, U=3.704706, f=0.10, E=10741.90
n=120, m=8, U=3.416853, f=0.10, E=9790.42
n=120, m=8, U=3.561212, f=0.10, E=10181.29
n=120, m=8, U=3.710519, f=0.10, E=10565.79
n=120, m=8, U=3.670092, f=0.10, E=10378.44
n=120, m=8, U=3.768952, f=0.10, E=10671.17
